,Name,Height,Place,Description
0,가덕산,858,"경기도 가평군 북면, 강원도 춘천시 서면",          
1,가라산,580,경상남도 거제시 남부면 다대리,          
2,가래봉,502,경상남도 밀양시 단장면 단장리,          
3,가령산,642,충청북도 괴산군,          
4,가리봉,1519,강원도 인제군,          
5,가리산,774,경기도 포천시 이동면 장암리,          
6,가리산,1051,"강원도 춘천시 북산면ㆍ동면, 홍천군 두촌면ㆍ화촌면",    소양강 비경 담은 신비한 암봉        가리산은 강원도 홍천군 두촌면과 화촌면  춘천시 북산면  동면에 걸쳐있는 해발        의 산이다  정상부를 이루는 산세가 마치 곡식을 차곡차곡 쌓아둔  낟가리 와 닮았다고 하여  가리산 이라 이름 붙여졌다고 전한다  대체로 육산을 이루고 있는 산세이나 정상부는 거대한  개의 바위봉우리로 이루어져 있다  북서쪽에 자리잡은 소양호의 조망이 일품이며  서쪽으로는 대룡산 어름이 보인다  또 정상 아래의 바위 절벽에서 사시사철 솟는 석간수가 유명하다  가리산은 홍천 경 중  경으로 꼽힌다 
7,가리왕산,1562,"강원도 정선군 정선읍 회동리ㆍ북평면, 평창군 진부면",정선아리랑 흐르는 정선의 지붕     강원도 평창군과 정선군은 이 고장 지붕 역할을 하고 있는 가리왕산을 중심으로 험난한 고산준령이 이루어진다고 해도 과언이 아니다  정선의 주산 가리왕산은 갈왕    이 난을 피하여 숨어든 곳이라 하여 갈왕산     이라 불리다가 일제시대를 거치면서 가리왕산      으로 불리고 있다         가리왕산 상봉 서쪽의 중왕산         과 상봉 사이 안부인 마항치     에는 국내 유일의  강릉부삼산봉표          라 새겨진 비가 세워져 있다  이는 일반인들의 채삼을 금지하는 구역을 뜻하는 것으로 가리왕산이 조선시대 때 산삼의 주산지였음을 알 수 있는 대목이다  상봉을 중심으로 남동쪽으로 중봉         하봉         에 이르기까지 육중한 산세가 부드럽게 이어진다 
8,가마봉,925,"강원도 홍천군 내촌면, 인제군 남면",          
9,가마봉,416,충청남도 공주시 반포면,             
10,가산,902,"경상북도 칠곡군 가산면, 동명면",
11,가야산,678,충청남도 서산시 운산면·예산군 덕산면,
12,가야산,1433,"경상남도 합천군ㆍ거창군, 경상북도 성주군",    산봉 계곡미  문화 갖춘 가야의 진산        경상남북도 경계에 있는 가야산은 우리 산줄기의 용마루 백두대간 위가 아니면서도      가 넘는 드문 산이다  이름처럼 가야의 진산으로서 그 자락에 대가야 합천이나 고령   고령가야  성산가야  전기 가야연맹의 일원이었을 김천을 품었다          정상 일대와 남산이라 할 매화산이 바위로 덮여있어 명산의 반열에 들었다  둘을 이어주는 두리봉  깃대봉  마령  단지봉의 육산    에서는 사철 맑은 물을 흘려보내 자궁형 산세 가운데를 흐르는 홍류동을 절경으로 꾸며놓았다  아울러 산 한가운데 세계문화유산 팔만대장경을 두었으니 산봉과 계곡  문화  무엇 하나 빠진 게 없다         이 갖춘 산을 치인리까지 버스를 타고가 정상을 다녀온 뒤 해인사 구경으로 끝낸다면 너무 허망할 것이다  그건 매화산 청량사에서 시작  자궁의 운두를 한 바퀴 돈 다음 보아도 늦지 않다    킬로미터 거리에  박 일이 걸리지만 공들인 값은 한다          그렇게 만나는 법보사찰의 국보 셋과 보물 다섯이 여느 눈과는 다르게 들어오리니   
13,가야산,189,전라남도 나주시 남평읍 수원리,          
14,가야산,497,전남 광양시 옥곡면,      
15,가은산,575,충청북도 제천시 수산면,
16,가지산,510,전라남도 장흥군 장평면 우산리,          
17,가지산,1241,"울산광역시, 경상북도 청도군, 경상남도 밀양시",    개성 없는 영남알프스 그 최고봉        부산산악인들이 이름붙인 영남알프스는 낙동정맥 아랫부분의 천 미터 넘는 산들을 총칭하는 개념이다  이 거울에 비친  자 모양 산줄기는 그러나 고봉능선으로 이어진 탓에 낱낱으로는 썩 빼어난 것이 없다          능선 안부와 정상의 고도차가 얼마 되지 않은 탓도 있다  개활지가 펼쳐진 동쪽에서 볼 때 상봉들이 능선 전면으로 튀어나와 있지 않고 뒤로 물러나있다는 점도 이유다  그래 가장 남쪽의 영취산을 제외하고는 다들 저 높은 데서 약간씩 오르내리는 대장벽의 일부일 따름이다          최고봉이라는 가지산 역시 여럿 중의 하나에 다름아니다  게다가  능동산처럼 능선삼거리에 자리잡아 개성이 더욱 묻혀버렸다  도립공원이라지만 북쪽 청도쪽은 또 둘밖에 안 되는 산길을 모두 막아버린 상태다 
18,가칠봉,1242,강원도 인제군 기린면 진동리,
19,가학산,575,전라남도 해남군 계곡면 당산리,          
20,가현산,192,"인천광역시 서구, 경기도 김포시",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   가현산은 수원 광교산의 일맥이 광주 오봉산을 거쳐 부평 계양산에 이르고 계양산에서 서쪽으로 뻗은 맥이 이곳에 이르게 되고 이어서 대곶면 약산과 수안산을 거쳐 몇 개의 섬을 남기고 강화도의 원맥이 되었으며  일맥은 문수산을 형성하였는데 이산에서는 서해뿐만 아니라 김포평야를 흐르는 한강과 동북쪽으로 임진강 하류와 그넘어 북한지역 산들을 조망할 수 있는 명산이다  또한 인천 서구와 경기도 김포시 양촌면경계에 위치한 해발       의 산으로 비록 높지않은 작은산이지만 정산에 서면 동으로는 서울남산  서쪽은 서해바다와 강화섬  북으로는 한강과 김포평야가 한눈에 내려다보이는 전망좋은 산이다                    고려시대 부터 산의 형세가 코끼리 머리와 같이 생겼다 하여 상두산이라고 불려오다가 칡이 번성한다하여 갈현산 이라고도 불렸고 서쪽 바다의 석양 낙조와 황포돗대가 어울리는 경관을 감상하면서 거문고를 타며 노래를 불렀다하여 가현산이라고 고쳐 부르게 되었는데 그 시절에 이 산 아래 해안일대에서 많이 나는 약쑥을 중국과 물물교환하는 무역이 활발하게되자 이 산 부근에 주막집이 번창케되면서 가무를 즐기게 된것도 산의 명칭이 변하게 된 사유라고 전해지기도한다                    이 산에는 남쪽 기슭에 망해사라는 절이 있었는데 그 건립과 철폐는 알 수 없으나 빈대가 많아 불태웠다고 전해지기도 하나 그 절터는 알 수 없으며 망해사에서 푸른 바다를 바라보는 경치는 경기지방에서 가장 좋았다는 역사기록도 있다                           
21,각산,398,경상남도 사천시,          
22,각화산,1176,경상북도 봉화군 춘양면,          
23,각흘봉,838,"경기도 포천시, 강원도 철원군",          
24,각희산,1083,"강원도 정선군 동면, 임계면",          
25,간대산,502,강원도 삼척시 신기면 신기리,          
26,간월산,1069,경상남도 울산시 울주군,          
27,간현봉,386,강원도 원주시 지정면,          
28,갈경산,783,"강원도 삼척시 원덕읍, 가곡면",          
29,갈기산,685,"경기도 양평군, 강원도 홍천군",          
30,갈기산,585,충청북도 영동군,          
31,갈두산,155,전라남도 해남 송지면,          
32,갈모봉,582,"경상북도 문경시, 충청북도 괴산군",          
33,갈미봉,372,"광주광역시 동구 선교동, 내남동",          
34,갈미봉,595,"강원도 원주시, 충청북도 충주시",          
35,갈미봉,548,경상북도 안동시,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   갈미봉은 북후면 월전리와 석탑리를 경계로한 산으로 조운산  학가산  천등산이 주위를 감싸고 있다  갈미봉의 연결능선은 그다지 높은 편은 아니지만 능선의 형세가 마치 말굽자석처럼 휘어져 있는 듯하다  등산로는 잘 다듬어져 있으나 찾는 등산객은 그리 많지 않다                           
36,갈전산,764,경상남도 산청군 생초면,          
37,감방산,258,전라남도 무안군 현경면,          
38,감악산,925,경상남도 거창군,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   거창의 안산이다  거창군 남상면과 신원면의 경계를 이룬다  정상에 넓은 감악평전이 있고         방송중계탑과 이동통신중계탑 등이 설치되어 있다  신라 애장왕  년 이 산에 연수사를 세운 감악조사의 이름을 따라 감악산이라 하였다 한다                           
39,감악산,675,"경기도 양주시 남면, 연천군 전곡읍, 파주시 적성면",    검푸른 감색바위의 산        감악산은 경기 파주시 적성면과 양주군 남면 연천군 전곡읍에 걸쳐있다      산경표    에 의하면 한북정맥의 한강봉과 연결되어 그 지맥을 이루고 있다  예로부터 개성 송악산  가평 화악산  과천 관악산  포천 운악산과 함께 경기  악의 하나로 알려져 왔으나 일반인에게는 그리 잘 알려져 있지 않았다          휴전선에 인접해 있는 탓에 입산금지구역으로 묶여 있다가 몇 년 전부터 통제가 다소 완화되었기 때문이다  그러나 여전히 등산로가 제한된다  정상을 중심으로 산행이 가능한 등산로는 범륜사  신암리  원당리 방면이다  감악사  운계사  범륜사  운림사 등의  개 사찰이 있었다는데 현재는     년 옛 운계사 터에 재창건한 범륜사만 남아있다  장군봉 아래는 조선 명종 때 의적 임꺽정이 관군의 추적을 피해 숨어있었다는 임꺽정굴이 있다              전쟁 때는 격전지로 유명했는데 설마리 계곡에는 영국군 전적비와 대한의열단 전적비가 있다 
40,감악산,945,강원도 원주시 신림면,          
41,감악삼봉,925,강원도 원주시,          
42,감암산,834,경상남도 합천 가회면,          
43,감투봉,768,경상남도 산청군 시천면 사리,          
44,갑장산,806,"경상북도 상주시 지천동, 낙동면",             
45,갑하산,469,대전광역시 유성구·충남 공주시 반포면,             
46,갓바위,852,경상북도 경산시 와촌면,          
47,갓산,673,경상북도 문경시 산북면 김용리,          
48,강씨봉,830,"경기도 포천시, 가평군",          
49,강천산,586,"전라북도 순창군 팔덕면, 전라남도 담양군 용면",       계류미 뛰어난 호남의 묘향            년 사상 최초로 군립공원이 된 산이다   군립 이라는 규모에 걸맞게    미터가 채 안되지만  공원 답게 뛰어난 계류미를 자랑한다          위는 육산  아래는 골산    이어서 바위들이 거의 산중턱 아랫녘에 몰려있다  하여  킬로미터 암벽협곡으로 비룡계곡의 비룡폭포  물통골의 약수폭포  소목골 용두폭포  계곡 본류로는 병풍바위의 인공폭포  장대한  장군폭포가 쏟아져 내리고 있다  여기에 용바위  호두암  투구봉의 바위들과 금강굴  수좌굴  형제굴의 동굴이 어우러지고 강천사와 삼인대의 전설까지 깃들어있으니 한 마디로 작은 묘향산  장엄하면서도 빼어난 역장역수      의 기경이라 할 것이다          예전에는 용천산이라 불렸는데 송익필이라는 사람의 시  숙   강천사 가 뜨면서 강천산으로 바꿨다고 한다  정말 어처구니없는 창씨개명이 아닐 수 없지만 익필의 자   로 산이름을 삼은 진안 운장산이 가장 멋진 부분까지 호 구봉에 뺏긴 것에 대면 그래도 낫다 할 것이다  그 송익필은 선조때 서인의 막후실력자였다     
50,개인산,1342,강원도 인제군 상남면ㆍ홍천군 내면,             
51,개좌산,449,부산광역시 기장군,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   이 개좌고개는 옛날 철마에서 부산으로 통하는 유일한 산길이었다  불이 난 줄도 모르고 잠든 주인을 몸에 물을 적셔 구한 충견    에 대한 이야기가 전설로 내려오고 있으며 그 후부터는 그 산을 개좌산  그 고개를 개좌고개라고 불렀다고 한다                           
52,개천산,497,전라남도 화순군,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   개천산은 도암면 천태리  등광리와 춘양면 가동리 일대에 경계를 이룬 산으로 천태산과 마주 한 곳에 자리하고 있으며 어느 곳에서 쳐다 보아도 뽀족하게 보이는 탓에 인근 마을에서는 문필봉 또는 필봉이라 일컫기도 한다  동쪽으로 보이는 용암산과 서로 자웅을 겨루듯 정상 부근은 바위무리로 구성되어 있으며 특히 동쪽에 있는 바위는 아름다움을 더해 준다                           
53,개화산,128,서울특별시 강서구,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   김포공항 옆에 위치한 개화산은 높이        면적은 약         이다 정상에는 조선시대에 사용했다는 봉화터가 남아 있다  또한 고려시대에 세워진 사찰 두 개가 있다 꽃이 피는 형상같은 지형을 가지고 있다                    신라시대에 주룡선생이라는 도인이 살아서 주룡산이라고 불리다가  그가 돌아간 후에 그 자리에서 이상한 꽃이 피었다고 하여 개화산이라 일컬었다는 이야기가 있다 또 산정상의 봉화대에서 그 의미를 취하여 불화   자를 써서 개화산     이라 하였다가그 후에 개화산     이라고 했다는 견해도 있다                           
54,거류산,572,경상남도 고성군 거류면,             
55,거마산,214,인천광역시 남동구 장수동,          
56,거망산,1184,경상남도 함양군,          
57,거머리산,125,인천광역시 남동구 만수4동,          
58,거문산,543,부산광역시 기장군 철마면 웅천리,          
59,거문산,1173,강원도 평창군,          
60,건지산,559,"경상북도 안동시 도산면 온혜리,가송리",          
61,건흥산(거열산),792,"경상남도 거창군 거창읍, 마리면",          
62,검각산,505,강원도 영월군 남면,          
63,검단산,658,경기도 하남시 천현동,      
64,검마산,1017,경상북도 영양군,          
65,검봉,530,강원도 춘천시 남산면,          
66,것대산,484,"충청북도 청주시 상당구, 청원구 낭성면",              청주 시내 조망 조망하는 금북정맥의 산                                  것대산은 옛 문헌에 표기된  거차대산          거질대산       의 음차표기다   상령산      이라고도 하는데 이는 것대산을 한자로 옮긴 것이다           국토지리정보원에서 발행하는 지형도에는 표기되어있지 않다  그러나 정상 부근에는 패러글라이딩을 위한 활공장과 것대산 봉수지 충청북도문화재자료 제  호 가 있어  이름 없는 산 이 아님을 증명한다  두 곳에서 내려다보이는 청주시가 볼 만하다  특히 봉수지에서는 동 서 북쪽이 훤하게 뚫려 있어 조망이 시원스럽다  높이가 낮고 등산로도 완만해 부담스럽지 않게 올라 멋진 경치를 감상할 수 있다  소나무가 주종을 이루고 있어 사시사철 푹신한 소나무숲길 산책이 가능한 것도 것대산이 가지고 있는 매력 중 하나다                                                             속리산에서 시작되는 금북정맥이 것대산을 지난다  짧은 등산 코스가 아쉽다면 금북정맥을 타고 마라톤종주를 하는 방법도 있다  북쪽으로는 상당산성  구녀산        좌구산      과 연결되어 있으며 남쪽으로는 선도산        선두산      으로 이어진다 
67,견두산,804,"전라북도 남원시, 전라남도 구례군",              전라남 북도에 우뚝 선 조망명산                                  전라남 북도 경계에 있는 견두산은 호두산     으로 불리다가 조선 영조 때 개명된 산이다  옛날 호두산에는 떼를 지어 살고 있는 들개들이 있었는데  이 개들이 한바탕 짖어대면 산이 울리고 땅이 뒤집혀질 지경이었고  그러면 마을에 큰 화재나 호환이 자주 일어났다  이에 전라관찰사 이서구가 호랑이를 상징하는 호석을 세우고 호두산을 견두산으로 개명하였는데  그 후부터 재난이 없어졌다는 전설이 있다  밤재부터 시작되는 견두산 능선은 계척봉  천마산  형제봉 등이 줄지어 늘어서  가장 긴 코스인 신월리까지     킬로미터에 이른다  하지만 곳곳에 표지판과 로프 등이 설치되어 길 찾기가 수월하며 다양한 하산로를 갖고 있어 산행능력에 따라 여러 코스를 맛볼 수 있다  전망이 트인 곳에서는 만복대와 노고단  반야봉 등 지리산의 익숙한 산봉우리들이 선명히 다가온다  정상 직전에 고려시대 것으로 추정되는 마애여래입상이 거대한 바위에 새겨져 있는데 그 입상 오른쪽으로 펼쳐진 남원 평야지대의 모습은 장관이 아닐 수 없다  견두산 정상 북쪽으로는 바래봉 철쭉 못지않은 철쭉군락지가 펼쳐져 있다 
68,견치봉,1120,경기도 포천시 이동면/가평군,          
69,경각산,659,"전북 완주군 구이면, 임실군 신덕면",          
70,경수산,444,"전라북도 고창군 시원면, 아산면",          
71,경운산,378,경상남도 김해시,          
72,계관산,736,"경기도 가평군, 강원도 춘천시",          
